i_max,t_max,num_threads,time_seconds,speedup
1000,100,1,0.000445491,1
1000,100,2,0.000930051,0.478996
1000,100,4,0.00114842,0.387916
1000,100,6,0.00139742,0.318796
1000,100,8,0.0016419,0.271326
1000,100,12,0.00254574,0.174995
1000,100,14,0.00285637,0.155964
1000,100,16,0.00318872,0.139708
1000,1000,1,0.00410049,1
1000,1000,2,0.01451,0.282597
1000,1000,4,0.0177828,0.230587
1000,1000,6,0.0202916,0.202079
1000,1000,8,0.0245199,0.167231
1000,1000,12,0.0296426,0.138331
1000,1000,14,0.0252104,0.162651
1000,1000,16,0.0278947,0.146999
1000,4000,1,0.0142175,1
1000,4000,2,0.0481204,0.295456
1000,4000,4,0.0589876,0.241024
1000,4000,6,0.0697988,0.203692
1000,4000,8,0.0833699,0.170535
1000,4000,12,0.110555,0.128601
1000,4000,14,0.100023,0.142142
1000,4000,16,0.110188,0.129029
100000,100,1,0.0284507,1
100000,100,2,0.0151291,1.88053
100000,100,4,0.0107136,2.65558
100000,100,6,0.00886664,3.20874
100000,100,8,0.00798518,3.56294
100000,100,12,0.00855828,3.32435
100000,100,14,0.00821013,3.46532
100000,100,16,0.00809562,3.51433
100000,1000,1,0.253354,1
100000,1000,2,0.147612,1.71635
100000,1000,4,0.0849204,2.98343
100000,1000,6,0.0698215,3.6286
100000,1000,8,0.0632644,4.00469
100000,1000,12,0.0747445,3.3896
100000,1000,14,0.0704695,3.59523
100000,1000,16,0.0664114,3.81492
100000,4000,1,1.0058,1
100000,4000,2,0.571473,1.76002
100000,4000,4,0.339193,2.96528
100000,4000,6,0.265653,3.78616
100000,4000,8,0.226965,4.43154
100000,4000,12,0.302154,3.32878
100000,4000,14,0.276395,3.63901
100000,4000,16,0.269993,3.72529
1000000,100,1,0.288557,1
1000000,100,2,0.168097,1.71661
1000000,100,4,0.0954178,3.02414
1000000,100,6,0.0709879,4.06487
1000000,100,8,0.0554226,5.20648
1000000,100,12,0.0609498,4.73433
1000000,100,14,0.0553189,5.21624
1000000,100,16,0.0503888,5.72661
1000000,1000,1,2.78633,1
1000000,1000,2,1.59843,1.74317
1000000,1000,4,0.900498,3.09421
1000000,1000,6,0.661079,4.21482
1000000,1000,8,0.470465,5.92251
1000000,1000,12,0.571994,4.87127
1000000,1000,14,0.503632,5.53248
1000000,1000,16,0.436957,6.37667
1000000,4000,1,11.1488,1
1000000,4000,2,5.97444,1.86608
1000000,4000,4,3.40245,3.2767
1000000,4000,6,2.55839,4.35773
1000000,4000,8,1.7613,6.32987
1000000,4000,12,2.26393,4.92453
1000000,4000,14,1.88098,5.92711
1000000,4000,16,1.72853,6.44988
